HallTicketNumber,Pyramid Weekly Contest,Pyramid Monthly Contest
23R01A6662,0.0,0.0
24R05A0548,,
23R01A05P5,,
23R01A6782,,
23R01A67F8,,
23R01A04J8,,
23R01A05V2,,
23R01A0425,,
24R05A0530,,
23R01A66H5,,
23R01A6690,0.0,31.0
23R01A66C0,,
23R01A66M5,0.0,0.0
23R01A67B5,0.0,0.0
23R01A6608,0.0,0.0
23R01A0586,20.0,0.0
23R01A05L3,,
23R01A04A2,0.0,0.0
23R01A66A8,20.0,36.0
23R01A05L0,,
23R01A04H7,,
23R01A0443,0.0,0.0
23R01A6622,0.0,0.0
23R01A05K7,,
23R01A66K0,,
23R01A05D6,,
23R01A05L7,,
23R01A66L1,0.0,0.0
23R01A05A0,0.0,0.0
23R01A05E1,,
23R01A05L1,14.12,0.0
23R01A05C0,,
23R01A6641,0.0,0.0
23R01A05L4,,
23R01A05CU,,
23R01A0455,,
23R01A04E6,,
24R05A6633,,
23R01A6740,,
23R01A05X1,,
23R01A6727,,
24R05A6623,0.0,0.0
23R01A0555,,
23R01A0516,,
23R01A05C6,,
23R01A0461,,
23R01A6602,0.0,0.0
23R01A05BV,,
23R01A6737,,
23R01A05AZ,,
24R05A0512,0.0,0.0
24R05A6631,0.0,32.0
23R01A0538,,
23R01A0474,0.0,0.0
23R01A05DC,,
23R01A04H0,,
23R01A05N8,0.0,0.0
23R01A04G0,,
23R01A6701,,
23R01A66L5,0.0,0.0
23R01A05EF,,
23R01A05G1,0.0,0.0
23R01A6797,,
23R01A67D9,,
23R01A66K2,,
23R01A6627,0.0,0.0
23R01A0559,,
23R01A6755,0.0,0.0
23R01A0599,14.0,0.0
23R01A05H4,,
23R01A6632,,
23R01A6794,,
23R01A05FB,0.0,0.0
23R01A66G3,0.0,0.0
23R01A04B0,0.0,0.0
23R01A0508,,
23R01A04A5,,
23R01A05BH,,
24R05A6710,,
23R01A05T4,,
23R01A0567,20.0,0.0
24R05A6716,0.0,0.0
23R01A04F8,,
23R01A66N4,0.0,0.0
23R01A0509,,
23R01A6732,,
23R01A6764,0.0,0.0
23R01A0442,,
23R01A6746,,
23R01A0433,0.0,0.0
24R05A0535,,
23R01A04B2,,
23R01A0537,0.0,32.0
24R05A0506,,
23R01A04D6,0.0,0.0
23R01A04H4,,
23R01A05W4,0.0,0.0
23R01A0548,,
23R01A05J2,0.0,0.0
23R01A05A4,,
23R01A0404,0.0,0.0
23R01A0427,0.0,0.0
23R01A66T5,0.0,0.0
23R01A05H1,0.0,0.0
23R01A0582,,
23R01A05CW,,
23R01A0564,,
23R01A0597,20.0,0.0
23R01A6773,,
24R05A6705,,
23R01A6758,,
24R05A0532,0.0,31.0
23R01A05X7,,
23R01A05B8,0.0,0.0
23R01A05X9,,
23R01A6765,,
23R01A0496,,
23R01A67A0,,
23R01A05Y9,,
23R01A66N7,0.0,0.0
23R01A0573,20.0,0.0
24R05A6627,0.0,0.0
23R01A66X2,0.0,0.0
23R01A6748,,
23R01A05DU,,
23R01A05X5,20.0,0.0
23R01A6637,,
23R01A6652,,
23R01A66D9,16.0,0.0
23R01A05AK,0.0,0.0
23R01A6693,20.0,0.0
24R05A0520,,
23R01A67K3,,
23R01A66R6,0.0,0.0
23R01A66H8,,
23R01A6745,,
23R01A6750,,
23R01A05EQ,,
23R01A0560,,
23R01A67E7,0.0,0.0
23R01A05G6,,
23R01A67C8,,
23R01A0570,,
24R05A6632,0.0,0.0
23R01A05K6,0.0,0.0
23R01A04J3,,
23R01A05BE,0.0,0.0
23R01A05CF,0.0,0.0
23R01A6730,,
23R01A0587,,
23R01A66Y1,0.0,0.0
23R01A6619,0.0,0.0
24R05A0524,,
23R01A67G2,,
23R01A0491,0.0,0.0
23R01A66Q7,0.0,0.0
23R01A0493,0.0,0.0
24R05A6625,0.0,0.0
23R01A05DE,,
23R01A05DB,,
23R01A66N0,0.0,0.0
24R05A0539,0.0,0.0
23R01A05R5,,
23R01A0451,0.0,0.0
24R05A0517,,
23R01A0411,0.0,0.0
24R05A6609,0.0,0.0
23R01A0405,0.0,0.0
23R01A05Q6,,
23R01A0467,0.0,0.0
23R01A04F7,,
24R05A0547,,
23R01A05D3,18.0,0.0
23R01A6625,,
23R01A05CX,,
24R05A6620,,
23R01A67D6,,
23R01A05AT,20.0,0.0
24R05A6605,0.0,0.0
23R01A66Y7,0.0,0.0
23R01A04C2,0.0,0.0
23R01A6685,0.0,0.0
24R05A0504,,
24R05A6714,,
23R01A66T9,0.0,0.0
23R01A05EW,,
23R01A66V4,,
23R01A04J0,0.0,0.0
23R01A67C5,,
23R01A0418,0.0,0.0
23R01A05T5,,
23R01A05T1,,
23R01A6626,0.0,0.0
23R01A04H5,,
23R01A66A6,0.0,0.0
23R01A66C6,,
23R01A6757,,
23R01A66H2,0.0,0.0
23R01A66Y2,0.0,0.0
23R01A0523,,
23R01A05DJ,,
24R05A0418,,
24R05A0406,0.0,0.0
23R01A04A8,0.0,0.0
23R01A6739,,
23R01A05J4,,
23R01A67A2,,
23R01A0596,,
23R01A05DR,,
23R01A05EE,,
23R01A0545,0.0,0.0
24R05A0411,0.0,0.0
23R01A66W4,,
23R01A05BT,,
23R01A0441,0.0,0.0
23R01A6677,0.0,0.0
23R01A6611,0.0,0.0
23R01A05M0,,
23R01A67J3,,
24R05A6706,,
23R01A66L9,0.0,0.0
23R01A66J4,,
23R01A05H8,,
23R01A05CL,,
23R01A04C8,0.0,0.0
23R01A05Y4,,
24R05A0404,0.0,0.0
23R01A67B7,,
23R01A66K5,0.0,0.0
23R01A04D1,,
23R01A6629,0.0,0.0
23R01A05F3,16.0,0.0
23R01A05W1,0.0,0.0
24R05A6715,,
23R01A66V2,0.0,0.0
23R01A0453,,
23R01A66W7,0.0,0.0
23R01A0458,0.0,0.0
23R01A05P9,,
23R01A04C5,,
23R01A67K0,0.0,0.0
23R01A67H5,0.0,0.0
23R01A66P9,0.0,0.0
23R01A6743,,
23R01A66G8,0.0,0.0
24R05A6704,,
23R01A05K0,,
23R01A66Q2,,
23R01A05EM,,
23R01A05E5,,
23R01A67F9,,
23R01A66X9,,
23R01A05EZ,,
23R01A0472,,
23R01A6642,0.0,0.0
23R01A0588,,
23R01A05B1,,
23R01A0518,,
23R01A67A6,0.0,0.0
23R01A67H9,0.0,0.0
23R01A66L0,0.0,0.0
23R01A6688,,
23R01A6657,20.0,0.0
23R01A05V1,0.0,0.0
23R01A66L7,0.0,0.0
23R01A05DA,,
23R01A04D8,,
23R01A6623,0.0,0.0
23R01A67G1,,
24R05A0501,,
23R01A05C7,,
23R01A66V5,0.0,0.0
23R01A67A5,0.0,0.0
23R01A05Q9,,
23R01A6798,,
23R01A0519,,
23R01A66V9,0.0,0.0
23R01A66H6,0.0,0.0
23R01A05DW,,
23R01A05AN,,
23R0A0401,0.0,0.0
23R01A0437,0.0,0.0
23R01A6752,,
24R05A6615,,
23R01A6628,,
23R01A67J6,0.0,0.0
23R01A04E2,,
23R01A05B9,,
23R01A67A8,,
23R01A05FC,,
23R01A0408,0.0,0.0
23R01A05V7,0.0,0.0
23R01A6649,0.0,0.0
23R01A67E1,,
23R01A0554,0.0,24.0
23R01A05H5,20.0,0.0
23R01A6681,0.0,0.0
23R01A66J7,,
23R01A6603,0.0,0.0
23R01A0431,0.0,0.0
23R01A04B3,0.0,0.0
23R01A0571,,
23R01A05W9,11.29,0.0
23R01A66E0,0.0,0.0
24R05A0502,,
23R01A6674,0.0,0.0
23R01A66Q8,0.0,0.0
23R01A6784,0.0,0.0
23R01A6769,,
24R05A0503,,
23R01A6654,0.0,0.0
23R01A66N1,0.0,0.0
23R01A0595,,
23R01A67G3,,
24R05A6606,0.0,0.0
23R01A66B7,0.0,0.0
23R01A6668,0.0,0.0
23R01A66J8,,
23R01A0505,,
23R01A05Y6,0.0,0.0
24R05A0507,,
23R01A05E0,,
23R01A05AR,,
23R01A66A2,0.0,0.0
23R01A0522,,
24R05A6703,,
23R01A04A0,0.0,0.0
24R05A0540,0.0,0.0
23R01A66G6,,
23R01A04C3,0.0,0.0
23R01A05EH,,
23R01A05BZ,,
23R01A0447,,
23R01A05EJ,0.0,0.0
23R01A05D5,12.0,0.0
23R01A6618,0.0,56.0
23R01A05J8,,
23R01A0576,0.0,25.0
23R01A0550,,
23R01A67D5,,
24R05A6603,,
23R01A66F6,,
23R01A05AA,0.0,0.0
23R01A05U5,20.0,0.0
24R05A6707,,
23R01A66W9,,
23R01A6720,,
23R01A6614,0.0,0.0
23R01A67B3,0.0,0.0
23R01A0430,,
23R01A66U7,0.0,0.0
23R01A66G9,,
23R01A66K1,,
23R01A05Z5,0.0,0.0
23R01A66G4,,
23R01A66R0,0.0,0.0
23R01A0464,0.0,0.0
23R01A05U8,,
23R01A6638,0.0,0.0
23R01A66M3,0.0,0.0
24R05A6613,0.0,0.0
23R01A66Y8,0.0,0.0
23R01A05J3,,
23R01A6640,20.0,0.0
23R01A0529,0.0,0.0
23R01A66D1,18.0,0.0
24R05A6602,0.0,0.0
23R01A66F3,,
23R01A05F5,0.0,0.0
23R01A66X8,0.0,0.0
23R01A05P8,,
23R01A0409,0.0,0.0
23R01A0432,0.0,0.0
23R01A6738,,
23R01A66P3,0.0,0.0
23R01A67E9,0.0,0.0
23R01A66K4,0.0,0.0
23R01A05G5,0.0,34.0
23R01A05FA,,
23R01A6717,,
23R01A6633,20.0,0.0
23R01A05EY,,
23R01A66G5,,
23R01A0440,0.0,0.0
23R01A66E3,,
24R05A0521,0.0,0.0
24R05A0401,0.0,0.0
23R01A6658,0.0,0.0
23R01A66E1,,
23R01A05K4,0.0,0.0
23R01A04B5,0.0,0.0
23R01A05CY,,
23R01A6713,,
23R01A04H6,,
23R01A0475,,
23R01A66X5,0.0,0.0
23R01A05T9,,
23R01A66P2,0.0,0.0
23R01A66B6,0.0,0.0
23R01A6679,20.0,0.0
23R01A6670,12.0,0.0
23R01A6777,,
23R01A6783,,
23R01A05BK,0.0,0.0
23R01A05V3,,
24R05A0410,0.0,0.0
23R01A6731,,
23R01A66Q4,0.0,0.0
24R05A0527,54.12,0.0
23R01A66B8,0.0,58.0
23R01A66R2,,
23R01A04H2,,
23R01A05G4,0.0,0.0
23R01A0501,,
23R01A04F9,,
23R01A05BQ,0.0,0.0
23R01A6763,,
23R01A0591,18.0,0.0
23R01A66L8,0.0,0.0
23R01A05CP,,
23R01A6726,,
23R01A05M6,0.0,0.0
23R01A05H2,0.0,0.0
23R01A66X7,,
23R01A66B5,0.0,0.0
23R01A67B0,,
24R05A0515,0.0,0.0
24R05A6718,0.0,0.0
23R01A6799,,
23R01A67C6,,
23R01A67C9,,
23R01A66Y6,,
23R01A67F4,,
23R01A04D9,,
23R01A6683,0.0,0.0
23R01A66Y0,0.0,0.0
23R01A6672,0.0,0.0
23R01A6791,,
23R01A67G6,,
23R01A67B9,,
23R01A66G2,,
23R01A0401,,
23R01A05U7,27.29,0.0
23R01A05EV,0.0,0.0
23R01A0584,,
23R01A05M7,,
23R01A66U8,0.0,0.0
23R01A6604,0.0,0.0
23R01A05U0,,
23R01A0512,,
23R01A0598,,
23R01A6610,0.0,0.0
22R01A04A4,0.0,0.0
23R01A04H8,0.0,0.0
23R01A04G5,,
23R01A67J9,0.0,0.0
23R01A05F7,,
23R01A05T2,,
23R01A67D0,,
24R05A6628,0.0,0.0
23R01A05N9,,
23R01A0569,0.0,0.0
23R01A67E3,0.0,0.0
23R01A05N3,,
23R01A05Y3,,
23R01A05Q2,,
24R05A0522,0.0,0.0
23R01A66V8,0.0,0.0
23R01A05DK,,
23R01A6673,0.0,0.0
23R01A67D4,,
23R01A6736,,
23R01A6768,,
23R01A05Q4,16.0,0.0
23R01A66U1,0.0,0.0
23R01A0497,0.0,0.0
23R01A05AQ,0.0,0.0
24R05A0505,,
23R01A04J4,,
23R01A67H0,0.0,0.0
23R01A05CD,,
23R01A67A4,,
23R01A67B8,,
23R01A05EX,,
23R01A05B7,0.0,0.0
23R01A05ER,,
23R01A0532,,
23R01A6696,0.0,20.0
23R01A67C0,,
23R01A04E0,,
23R01A0535,,
23R01A0456,,
23R01A66Q0,,
23R01A0513,,
23R01A05Q3,,
23R01A0488,,
23R01A0481,0.0,0.0
23R01A05F0,,
23R01A67E5,,
23R01A0514,,
23R01A6704,,
23R01A66V3,0.0,0.0
23R01A05P3,,
23R01A6675,0.0,0.0
23R01A05L2,,
23R01A04J9,0.0,0.0
23R01A6635,0.0,0.0
23R01A0486,0.0,0.0
23R01A67F5,,
23R01A05X6,,
23R01A05U9,,
23R01A0423,,
22R01A05A0,0.0,0.0
23R01A0574,,
23R01A05BM,0.0,0.0
23R01A66C2,,
23R01A6772,,
23R01A66D2,0.0,0.0
23R01A0520,,
23R01A0568,,
23R01A05H6,,
23R01A05Q1,,
23R01A05AE,,
23R01A66Q5,0.0,0.0
23R01A66U3,0.0,0.0
23R01A6698,0.0,16.0
23R01A05P2,,
23R01A6795,,
24R05A6622,,
23R01A0558,,
23R01A6680,20.0,0.0
23R01A66U0,0.0,0.0
23R01A6661,0.0,0.0
23R01A0439,0.0,0.0
23R01A0403,0.0,0.0
23R01A66V6,0.0,0.0
23R01A0547,0.0,0.0
23R01A67J4,0.0,0.0
23R01A05CR,,
23R01A66E4,0.0,0.0
23R01A66U5,0.0,0.0
23R01A05Q7,0.0,0.0
24R05A6611,0.0,0.0
23R01A0471,0.0,0.0
23R01A6606,0.0,0.0
23R01A05DX,,
23R01A66M6,0.0,0.0
23R01A66T0,,
23R01A0454,0.0,0.0
23R01A0470,0.0,0.0
23R01A6703,,
23R01A05T6,,
23R01A05AF,0.0,0.0
23R01A0525,,
23R01A05FD,1.41,0.0
23R01A05A3,,
23R01A66R4,0.0,0.0
23R01A6669,,
23R01A66N6,0.0,0.0
24R05A0525,0.0,0.0
23R01A05C5,,
23R01A0460,0.0,0.0
23R01A66C5,0.0,0.0
23R01A66P8,0.0,0.0
23R01A66B1,,
23R01A05BD,0.0,0.0
23R01A66E5,,
23R01A0499,0.0,0.0
23R01A05Z0,,
24R05A0534,,
23R01A05J5,0.0,0.0
23R01A04F4,0.0,0.0
23R01A05CZ,,
23R01A05Z2,,
23R01A6719,,
23R01A0583,,
23R01A66F8,,
23R01A66J3,,
23R01A04G4,,
23R01A05W0,,
23R01A04A1,0.0,0.0
23R01A66M0,0.0,0.0
23R01A0552,,
24R05A6612,,
23R01A66B3,,
23R01A66U9,0.0,0.0
23R01A66R5,,
23R01A6655,0.0,0.0
23R01A05M2,,
23R01A05N5,,
23R01A05BX,,
23R01A04H9,,
23R01A67E4,,
23R01A6785,,
23R01A05G7,0.0,0.0
23R01A05Z6,0.0,0.0
23R01A0511,0.0,0.0
23R01A05C4,0.0,0.0
23R01A05N4,0.0,0.0
23R01A05BY,0.0,0.0
23R01A05V9,,
24R05A0538,0.0,31.0
23R01A0492,,
23R01A6715,,
23R01A05X3,,
23R01A67A7,,
23R01A05P6,,
24R05A0402,,
23R01A04C4,0.0,0.0
23R01A6689,,
23R01A05X8,,
23R01A04C9,,
23R01A05D2,,
23R01A67B1,,
23R01A66J9,0.0,0.0
23R01A66J6,,
23R01A05AV,0.0,0.0
R01A66K1@,0.0,0.0
23R01A66F7,,
23R01A05FE,0.0,0.0
23R01A6639,0.0,0.0
23R01A05EN,,
23R01A67D8,,
23R01A0415,0.0,0.0
23R01A05D0,,
23R01A05D9,,
24R05A0415,,
23R01A05R6,0.0,0.0
23R01A05DT,0.0,0.0
24R05A0523,,
23R01A6767,,
23R01A67E2,,
23R01A6660,20.0,0.0
24R05A6624,0.0,0.0
23R01A05W7,0.0,0.0
23R01A6756,,
23R01A6648,0.0,19.0
23R01A0429,0.0,0.0
23R01A66M4,0.0,0.0
23R01A0414,0.0,0.0
23R01A66M7,0.0,0.0
23R01A66G1,,
23R01A0483,0.0,0.0
23R01A05M8,,
23R01A0424,0.0,0.0
23R01A05EB,,
23R01A05AU,0.0,0.0
24R05A0513,,
23R01A05BL,0.0,0.0
24R05A6601,,
22R01A05N6,,
23R01A05J9,,
23R01A6716,0.0,0.0
24R05A6711,,
23R01A05Z9,,
23R01A0507,,
23R01A05E7,,
23R01A6659,0.0,0.0
23R01A05CV,,
23R01A67D2,,
23R01A67A9,0.0,0.0
23R01A6751,,
24R05A0528,0.0,0.0
23R01A0477,0.0,14.0
23R01A05Q8,0.0,0.0
23R01A05T3,28.71,0.0
23R01A05Q0,,
23R01A6712,,
23R01A0534,,
23R01A05V8,,
23R01A6718,0.0,0.0
23R01A0469,8.47,0.0
23R01A05U3,6.0,0.0
23R01A66E9,,
23R01A6721,,
23R01A67C2,,
23R01A0452,0.0,0.0
23R01A66L3,0.0,0.0
24R05A6708,,
23R01A0575,18.0,0.0
23R01A66Q3,0.0,0.0
23R01A0479,0.0,0.0
23R01A67G9,,
23R01A05EL,,
23R01A66B0,16.0,0.0
23R01A6615,0.0,0.0
24R05A0412,0.0,0.0
23R01A04J7,,
23R01A04E1,,
23R01A6691,0.0,0.0
23R01A05A8,,
23R01A67C4,,
23R01A04B9,,
23R01A05R0,0.0,0.0
23R01A05A9,,
23R01A05E3,0.0,0.0
23R01A05K3,0.0,0.0
23R01A6762,,
23R01A0531,0.0,9.0
23R01A66W3,0.0,0.0
23R01A66J0,0.0,0.0
23R01A0450,,
23R01A05DQ,,
24R05A6719,,
23R01A66T4,0.0,0.0
23R01A05DL,,
23R01A05AG,,
23R01A0484,,
23R01A04G1,,
23R01A66W5,,
23R01A05E6,0.0,0.0
23R01A04D7,,
23R01A67K1,,
23R01A66R7,0.0,0.0
23R01A0448,0.0,0.0
23R01A05BC,,
23R01A67F3,,
23R01A0402,0.0,0.0
23R01A05C1,,
23R01A04F0,,
23R01A67H1,,
23R01A0428,0.0,0.0
23R01A67H2,,
23R01A66X4,0.0,0.0
23R01A6778,,
23R01A6605,0.0,0.0
23R01A0589,,
24R05A6701,,
23R01A6766,,
23R01A6687,10.0,0.0
23R01A6729,,
23R01A6616,0.0,0.0
23R01A66T1,,
23R01A05C2,,
23R01A05DP,,
23R01A6742,,
23R01A6666,0.0,0.0
23R01A05K1,,
24R05A6619,,
23R01A6722,,
23R01A6774,,
23R01A0592,,
23R01A05CQ,,
23R01A05V4,,
23R01A67H7,0.0,0.0
23R01A05A7,0.0,0.0
23R01A04J5,0.0,0.0
23R01A66W8,0.0,31.0
23R01A05Y2,,
23R01A6725,,
23R01A67B4,,
24R05A0509,,
23R01A66P4,0.0,0.0
23R01A0445,0.0,0.0
23R01A0517,10.0,0.0
24R05A0518,0.0,0.0
23R01A66F2,,
23R01A6741,,
23R01A6617,0.0,0.0
23R01A0419,,
23R01A05Y0,0.0,0.0
23R01A6613,0.0,0.0
23R01A05T7,0.0,0.0
23R01A66U4,0.0,0.0
23R01A6728,,
23R01A0473,,
23R01A05Y1,,
23R01A05K2,0.0,0.0
23R01A05G9,,
23R01A66H3,,
23R01A05AM,0.0,0.0
23R01A6695,20.0,23.0
23R01A05D8,0.0,28.0
23R01A6760,,
23R01A6653,,
23R01A67D3,0.0,0.0
24R05A6617,,
23R01A66H9,,
23R01A04E7,,
23R01A05AJ,,
23R01A6787,,
23R01A6747,,
23R01A04E9,,
23R01A66A5,19.09,31.0
23R01A0498,,
23R01A67C1,0.0,0.0
23R01A6702,,
23R01A66W6,0.0,0.0
23R01A04B1,,
23R01A66A4,3.64,0.0
23R01A6630,0.0,25.0
23R01A04B8,0.0,0.0
23R01A0476,,
23R01A67D7,,
23R01A05L8,,
23R01A66P0,0.0,0.0
23R01A0524,,
23R01A04C7,0.0,0.0
24R05A0508,0.0,0.0
24R05A6717,0.0,0.0
23R01A05Y7,0.0,29.0
24R05A0511,,
23R01A04G3,,
23R01A66G7,,
23R01A05J0,0.0,0.0
23R01A6665,0.0,58.0
23R01A05BW,0.0,0.0
23R01A6761,,
23R01A66X3,0.0,0.0
23R01A0416,,
23R01A67C3,,
23R01A67A1,,
23R01A0565,0.0,0.0
23R01A0489,0.0,0.0
23R01A66M2,0.0,0.0
24R05A6702,,
23R01A0536,0.0,0.0
23R01A05BR,0.0,0.0
23R01A05E2,0.0,0.0
23R01A67F2,,
23R01A05CA,,
23R01A66F9,0.0,0.0
23R01A05BB,0.0,0.0
23R01A0527,,
23R01A05EA,,
23R01A66J1,,
23R01A05P1,0.0,0.0
23R01A6634,0.0,0.0
24R05A0514,0.0,0.0
23R01A67D1,,
23R01A04E5,,
23R01A66D8,0.0,0.0
23R01A66E7,,
23R01A05H0,,
23R01A0530,,
23R01A0446,,
23R01A0506,0.0,0.0
24R05A0544,,
23R01A6771,,
23R01A0540,0.0,0.0
23R01A05H9,0.0,0.0
23R01A66H4,,
23R01A6651,0.0,0.0
23R01A6699,0.0,0.0
24R05A6621,,
23R01A6647,0.0,0.0
23R01A05Y5,0.0,0.0
23R01A6656,0.0,0.0
23R01A6686,0.0,0.0
23R01A66C4,0.0,0.0
23R01A6749,,
23R01A6621,0.0,0.0
23R01A6707,,
23R01A66M9,0.0,0.0
23R01A0406,0.0,0.0
23R01A04A7,0.0,0.0
23R01A05R4,0.0,0.0
23R01A05C8,40.0,0.0
23R01A6780,,
24R05A0413,,
23R01A0422,0.0,0.0
23R01A6612,0.0,0.0
23R01A05R3,,
23R01A6667,0.0,0.0
23R01A6723,,
24R05A6610,0.0,0.0
23R01A05N7,12.0,0.0
24R05A0405,0.0,0.0
23R01A05V0,,
23R01A6624,0.0,0.0
23R01A67C7,0.0,0.0
23R01A66P5,0.0,0.0
23R01A05F2,,
23R01A0580,,
23R01A0533,,
23R01A0551,,
23R01A6781,0.0,0.0
23R01A05CG,,
23R01A0594,0.0,0.0
23R01A04G9,0.0,0.0
23R01A05DM,,
23R01A05X4,20.82,0.0
23R01A0436,0.0,0.0
23R01A05BJ,,
23R01A05F1,,
23R01A0426,0.0,0.0
23R01A67B2,0.0,0.0
23R01A05E4,0.0,0.0
24R05A6720,0.0,0.0
23R01A05DD,,
23R01A0444,,
23R01A05CK,,
23R01A05Z1,0.0,0.0
23R01A66K3,0.0,0.0
23R01A0557,,
23R01A66Q9,0.0,0.0
23R01A66T6,0.0,0.0
23R01A05L5,,
